resample,fb_multiplier,greedy_net_r,f1_net_r,greedy_net_0,f1_net_0,nominal_gain_ils,honest_gain_ils,nominal_gain_pct,honest_gain_pct
168,1.0,19343601.644564554,19742078.171289816,18578359.096835636,19014741.79637683,398476.5267252624,436382.6995411962,2.0599913813735515,2.348876438799825
169,1.0,19983018.685419418,20434917.22682469,18683307.207057327,19107737.61712599,451898.54140527174,424430.4100686647,2.2614127951298912,2.2717092073952663
170,1.0,17455875.47144648,17948254.86253655,18334095.59663653,19030647.403256245,492379.39109006897,696551.806619715,2.8207086599321847,3.7992155268760595
171,1.0,18310626.38986386,18742536.902797792,18524716.82325426,19051784.018294893,431910.51293393224,527067.195040632,2.3587970380577654,2.8452105371942817
172,1.0,17671375.10957662,18214550.546190266,18385384.68115148,19070337.408554643,543175.4366136454,684952.7274031639,3.0737587383297815,3.725528398137739
173,1.0,18241604.14076661,18719515.408018805,18576545.313126594,19123394.561465178,477911.2672521956,546849.2483385839,2.619897151392253,2.9437618196542075
174,1.0,17888327.548821498,18402965.484708678,18318782.463293724,18973169.796443634,514637.93588718027,654387.33314991,2.8769483032028065,3.572220667291285
175,1.0,19330967.680619467,19762501.074945576,18640782.99859916,19086266.656548727,431533.39432610944,445483.65794956684,2.2323424334248374,2.389833399074731
176,1.0,17245148.059438914,17805508.45308995,17936424.435857307,18733431.238490995,560360.3936510347,797006.8026336879,3.2493800094939083,4.443509939697708
177,1.0,19286616.801289868,19764918.019504853,18673196.9894562,19118908.545729704,478301.218214985,445711.5562735051,2.4799643355956382,2.386905448087843
178,1.0,18188804.019316368,18598809.31508565,18543856.08386687,19070923.2789075,410005.2957692817,527067.195040632,2.2541630298169095,2.8422739728830178
179,1.0,18321140.142728712,18788322.22233219,18422770.400380082,18995151.613098357,467182.0796034783,572381.2127182744,2.5499618253228276,3.106922576131468
180,1.0,18554880.29230299,19024625.042322535,18672557.870314416,19159813.763478994,469744.7500195466,487255.8931645788,2.531650663434396,2.6094758765708095
181,1.0,17638581.70666313,18075808.59349896,18173741.523616288,18763680.325204276,437226.8868358284,589938.8015879877,2.478809771143119,3.2461053813348126
182,1.0,19978209.92418932,20420666.69216583,18704695.005891666,19114264.12689979,442456.76797650754,409569.1210081242,2.2146967603978744,2.189659445818907
183,1.0,18183747.203270156,18593012.514626075,18554438.447197724,19081505.642238352,409265.31135591865,527067.1950406283,2.2507204196191015,2.8406529065299266
184,1.0,18845062.176921465,19289237.315411452,18724101.75168111,19167504.648346253,444175.1384899877,443402.896665141,2.3569842026520087,2.3680863442505635
